sentence,prediction,ground_true,预测,正确,fold_0_top2,fold_1_top2,fold_2_top2,fold_3_top2,fold_4_top2,fold_5_top2,fold_6_top2,fold_7_top2,fold_8_top2,fold_9_top2
请 帮 我 打开 uc,0,0,app,app,"('app', 'chat')","('app', 'email')","('app', 'chat')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')"
链家 地产 打开 QQ,0,0,app,app,"('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('website', 'app')"
笑 一 笑 十 年 少,3,28,chat,video,"('chat', 'video')","('epg', 'chat')","('music', 'chat')","('epg', 'video')","('chat', 'music')","('music', 'chat')","('chat', 'music')","('chat', 'music')","('video', 'poetry')","('music', 'poetry')"
我 好 高兴 噢,3,3,chat,chat,"('chat', 'music')","('chat', 'cookbook')","('chat', 'map')","('chat', 'schedule')","('chat', 'music')","('chat', 'music')","('chat', 'telephone')","('chat', 'music')","('chat', 'music')","('chat', 'music')"
给 我 打开 收音机 ， 我 要 听 调幅 86.5,20,20,radio,radio,"('radio', 'app')","('radio', 'app')","('radio', 'tvchannel')","('radio', 'app')","('radio', 'riddle')","('radio', 'app')","('radio', 'music')","('radio', 'website')","('radio', 'tvchannel')","('radio', 'app')"
帮 我 添加 一个 下午 1点 的 闹钟 ， 我 到 时候 要 去 开会,22,22,schedule,schedule,"('schedule', 'cookbook')","('schedule', 'datetime')","('schedule', 'chat')","('schedule', 'datetime')","('schedule', 'epg')","('schedule', 'video')","('schedule', 'message')","('schedule', 'cinemas')","('schedule', 'epg')","('schedule', 'chat')"
总是 想 他 喜欢 和 他 在 一起 的 那种 感觉,3,3,chat,chat,"('chat', 'music')","('chat', 'music')","('chat', 'message')","('chat', 'music')","('chat', 'music')","('chat', 'music')","('chat', 'music')","('chat', 'music')","('chat', 'music')","('chat', 'music')"
给 我 打开 1 下 qq,0,0,app,app,"('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')"
帮忙 打开 1 下 酷狗 音乐 播放 音乐 行不,0,0,app,app,"('app', 'website')","('app', 'music')","('app', 'music')","('app', 'website')","('app', 'website')","('app', 'music')","('app', 'music')","('app', 'website')","('app', 'website')","('app', 'music')"
我 要 查看 未 读 邮件 里 写 了 什么 ， 替 我 打开 邮件 吧,8,8,email,email,"('email', 'stock')","('email', 'cookbook')","('email', 'message')","('email', 'message')","('email', 'chat')","('email', 'message')","('email', 'chat')","('email', 'tvchannel')","('email', 'app')","('email', 'message')"
你 是 打 广告 的 吗,3,3,chat,chat,"('chat', 'cookbook')","('chat', 'music')","('chat', 'translation')","('chat', 'schedule')","('chat', 'translation')","('chat', 'weather')","('chat', 'music')","('chat', 'translation')","('chat', 'map')","('chat', 'datetime')"
最 早 的 宝莲灯 电视剧 ， 可以 给 我 放 一下 吗,28,28,video,video,"('video', 'epg')","('video', 'epg')","('video', 'epg')","('epg', 'video')","('video', 'epg')","('video', 'epg')","('epg', 'video')","('video', 'epg')","('epg', 'video')","('epg', 'video')"
开卡 好好贵 的,3,3,chat,chat,"('chat', 'app')","('chat', 'music')","('chat', 'app')","('chat', 'schedule')","('chat', 'music')","('chat', 'app')","('chat', 'music')","('chat', 'health')","('chat', 'app')","('chat', 'app')"
只有 一点点 吗,3,3,chat,chat,"('chat', 'map')","('chat', 'music')","('chat', 'datetime')","('chat', 'schedule')","('chat', 'music')","('chat', 'weather')","('chat', 'epg')","('chat', 'datetime')","('chat', 'map')","('chat', 'datetime')"
哈工大 的 刘挺 教授 是 谁,3,3,chat,chat,"('chat', 'map')","('chat', 'map')","('chat', 'message')","('chat', 'map')","('chat', 'translation')","('chat', 'map')","('chat', 'map')","('chat', 'map')","('chat', 'map')","('chat', 'map')"
合肥 今天 有 什么 新闻 ， 放 给 我 听听,17,17,news,news,"('news', 'epg')","('news', 'epg')","('news', 'epg')","('news', 'chat')","('news', 'chat')","('news', 'chat')","('news', 'epg')","('news', 'epg')","('news', 'epg')","('news', 'epg')"
打开 uc2 哦,0,0,app,app,"('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')"
你 会 不断 的 说 好 吗,3,3,chat,chat,"('chat', 'music')","('chat', 'datetime')","('chat', 'map')","('chat', 'schedule')","('chat', 'translation')","('chat', 'riddle')","('chat', 'music')","('chat', 'translation')","('chat', 'translation')","('chat', 'datetime')"
打开 邮件 ， 看看 有 未 读 的 吗,8,8,email,email,"('email', 'poetry')","('email', 'chat')","('email', 'chat')","('email', 'website')","('email', 'chat')","('email', 'message')","('email', 'chat')","('email', 'chat')","('email', 'app')","('email', 'app')"
秦兵 教授 是 男 的,3,3,chat,chat,"('chat', 'map')","('chat', 'cookbook')","('chat', 'message')","('chat', 'video')","('chat', 'video')","('chat', 'weather')","('chat', 'contacts')","('chat', 'video')","('chat', 'map')","('chat', 'music')"
事理 图谱 是 你们 做 的 吗,3,3,chat,chat,"('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'bus')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')"
婚礼 上 婆婆 怎么 讲话 好,3,3,chat,chat,"('chat', 'translation')","('chat', 'cookbook')","('chat', 'music')","('translation', 'chat')","('chat', 'translation')","('chat', 'translation')","('chat', 'translation')","('chat', 'translation')","('chat', 'epg')","('chat', 'epg')"
我 邮箱 里 有 什么 未 读 邮件 ， 我 要 看看,8,8,email,email,"('email', 'stock')","('email', 'chat')","('email', 'app')","('email', 'website')","('email', 'chat')","('email', 'message')","('email', 'chat')","('email', 'chat')","('email', 'chat')","('email', 'cookbook')"
什么 事儿 啊 你 说,3,3,chat,chat,"('chat', 'riddle')","('chat', 'epg')","('chat', 'tvchannel')","('chat', 'schedule')","('chat', 'music')","('chat', 'translation')","('chat', 'contacts')","('chat', 'datetime')","('chat', 'map')","('chat', 'cookbook')"
我 问 你 问题 不许 你 问 我 撤回 傲慢,3,3,chat,chat,"('chat', 'email')","('chat', 'music')","('chat', 'video')","('chat', 'epg')","('chat', 'music')","('chat', 'music')","('chat', 'email')","('chat', 'email')","('chat', 'music')","('chat', 'music')"
联想 的 董事长,23,3,stock,chat,"('stock', 'website')","('stock', 'cookbook')","('stock', 'chat')","('stock', 'map')","('stock', 'contacts')","('stock', 'map')","('stock', 'map')","('map', 'cookbook')","('stock', 'map')","('stock', 'map')"
随便 来 几 个 谜语 吧 ， 要 简单 容易 猜 的,21,21,riddle,riddle,"('riddle', 'chat')","('riddle', 'contacts')","('riddle', 'map')","('riddle', 'poetry')","('riddle', 'calc')","('riddle', 'translation')","('riddle', 'match')","('riddle', 'app')","('riddle', 'video')","('riddle', 'chat')"
帮 我 查 下科 大讯飞 这 支 股票 ， 它 的 换手率 是 多少,23,23,stock,stock,"('stock', 'email')","('stock', 'calc')","('stock', 'chat')","('stock', 'calc')","('stock', 'calc')","('stock', 'calc')","('stock', 'music')","('stock', 'video')","('stock', 'calc')","('stock', 'radio')"
双方 还 达成,3,3,chat,chat,"('chat', 'translation')","('chat', 'app')","('chat', 'calc')","('chat', 'schedule')","('chat', 'translation')","('chat', 'schedule')","('chat', 'tvchannel')","('chat', 'translation')","('chat', 'translation')","('chat', 'datetime')"
根号 3 的 倒数,2,2,calc,calc,"('calc', 'tvchannel')","('calc', 'website')","('calc', 'chat')","('calc', 'radio')","('calc', 'riddle')","('calc', 'telephone')","('calc', 'stock')","('calc', 'weather')","('calc', 'chat')","('calc', 'tvchannel')"
4 乘 6 然后 再 乘 7 再 除 以 2,2,2,calc,calc,"('calc', 'telephone')","('calc', 'website')","('calc', 'contacts')","('calc', 'radio')","('calc', 'schedule')","('calc', 'stock')","('calc', 'chat')","('calc', 'train')","('calc', 'chat')","('calc', 'tvchannel')"
我 要 跟 你 结婚,3,3,chat,chat,"('chat', 'music')","('chat', 'music')","('chat', 'music')","('chat', 'music')","('chat', 'video')","('chat', 'music')","('chat', 'music')","('chat', 'music')","('chat', 'music')","('chat', 'music')"
我 睡 不 着 了,3,3,chat,chat,"('chat', 'translation')","('chat', 'translation')","('chat', 'app')","('chat', 'schedule')","('chat', 'music')","('chat', 'translation')","('chat', 'music')","('chat', 'translation')","('chat', 'website')","('chat', 'translation')"
他 说 他 是 不 是 逗 我 玩 的,3,3,chat,chat,"('chat', 'telephone')","('chat', 'cookbook')","('chat', 'app')","('chat', 'schedule')","('chat', 'translation')","('chat', 'translation')","('chat', 'app')","('chat', 'music')","('chat', 'cookbook')","('chat', 'riddle')"
小 鹿 姐姐 主持 的 动画 梦工厂 ， 最近 放 啥 动画片 呢,28,9,video,epg,"('video', 'epg')","('video', 'epg')","('epg', 'video')","('epg', 'video')","('video', 'epg')","('video', 'epg')","('epg', 'video')","('video', 'epg')","('video', 'epg')","('video', 'epg')"
你 这 定位 也 太 不准 了,3,3,chat,chat,"('chat', 'translation')","('chat', 'cookbook')","('chat', 'map')","('chat', 'cookbook')","('chat', 'music')","('chat', 'weather')","('chat', 'riddle')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'translation')"
患 上 癌症 能 怎么办 ， 可以 保守 治疗 吗,11,11,health,health,"('health', 'website')","('health', 'chat')","('health', 'chat')","('health', 'calc')","('health', 'cookbook')","('health', 'chat')","('health', 'chat')","('health', 'chat')","('health', 'cookbook')","('health', 'chat')"
能 不 能 让 用户 参与 开发,3,3,chat,chat,"('chat', 'app')","('chat', 'app')","('chat', 'app')","('chat', 'app')","('chat', 'map')","('chat', 'app')","('chat', 'app')","('chat', 'app')","('chat', 'app')","('chat', 'app')"
你 知道 五谷磨房 吗,3,3,chat,chat,"('chat', 'music')","('chat', 'cookbook')","('chat', 'map')","('chat', 'poetry')","('chat', 'cookbook')","('chat', 'poetry')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'cookbook')","('chat', 'datetime')"
我 想 看 恐怖片 ， 给 我 推荐点 超级 吓人 的 那种 恐怖片,28,28,video,video,"('video', 'epg')","('video', 'cinemas')","('video', 'cinemas')","('video', 'cinemas')","('video', 'cinemas')","('video', 'epg')","('video', 'cinemas')","('video', 'cinemas')","('video', 'epg')","('video', 'cinemas')"
你 很 有 正 能量,3,3,chat,chat,"('chat', 'video')","('chat', 'video')","('chat', 'video')","('chat', 'weather')","('chat', 'video')","('chat', 'weather')","('chat', 'email')","('chat', 'music')","('chat', 'map')","('chat', 'weather')"
你 不 说 人 话,3,3,chat,chat,"('chat', 'music')","('chat', 'epg')","('chat', 'tvchannel')","('chat', 'schedule')","('chat', 'music')","('chat', 'weather')","('chat', 'contacts')","('chat', 'translation')","('chat', 'map')","('chat', 'music')"
那 给 我 介绍 一个 呗,3,3,chat,chat,"('chat', 'telephone')","('chat', 'music')","('chat', 'map')","('chat', 'riddle')","('chat', 'map')","('chat', 'health')","('chat', 'website')","('chat', 'map')","('chat', 'poetry')","('chat', 'riddle')"
你 很 厉害 你 咋 知道 我 跟 开封 有 联系,3,3,chat,chat,"('chat', 'telephone')","('chat', 'epg')","('chat', 'message')","('chat', 'map')","('chat', 'music')","('chat', 'map')","('chat', 'music')","('chat', 'translation')","('chat', 'map')","('chat', 'epg')"
北京 的 房价 太 高 怎么办,3,3,chat,chat,"('chat', 'weather')","('chat', 'cookbook')","('chat', 'map')","('chat', 'map')","('chat', 'stock')","('chat', 'health')","('chat', 'health')","('chat', 'translation')","('chat', 'map')","('chat', 'datetime')"
人 之 初,3,19,chat,poetry,"('chat', 'app')","('chat', 'video')","('chat', 'app')","('chat', 'map')","('chat', 'poetry')","('video', 'music')","('chat', 'poetry')","('chat', 'video')","('chat', 'website')","('chat', 'poetry')"
以后 叫 你 蠢蠢,3,3,chat,chat,"('chat', 'translation')","('chat', 'cookbook')","('chat', 'tvchannel')","('chat', 'schedule')","('chat', 'translation')","('chat', 'poetry')","('chat', 'poetry')","('chat', 'music')","('chat', 'cookbook')","('chat', 'health')"
性 行为 对 人 的 身体 有 什么 好处 呢,3,11,chat,health,"('chat', 'health')","('chat', 'health')","('chat', 'message')","('chat', 'health')","('chat', 'health')","('chat', 'health')","('chat', 'health')","('chat', 'health')","('chat', 'health')","('chat', 'health')"
你 懂 的 好多 丫,3,3,chat,chat,"('chat', 'stock')","('chat', 'music')","('chat', 'schedule')","('chat', 'cookbook')","('chat', 'music')","('chat', 'weather')","('chat', 'health')","('chat', 'music')","('chat', 'music')","('chat', 'health')"
搜索 一下 ， 上 一 周 安徽 卫视 播放 的 电视剧 有 哪些,9,9,epg,epg,"('epg', 'video')","('epg', 'tvchannel')","('epg', 'tvchannel')","('epg', 'tvchannel')","('epg', 'tvchannel')","('epg', 'tvchannel')","('epg', 'video')","('epg', 'tvchannel')","('epg', 'tvchannel')","('epg', 'tvchannel')"
你 会 韩语 吗 ？ 可以 用 韩语 帮 我 翻译 我 爱 你 这 句 话 吗,26,26,translation,translation,"('translation', 'chat')","('translation', 'chat')","('translation', 'chat')","('translation', 'chat')","('translation', 'chat')","('translation', 'chat')","('translation', 'chat')","('translation', 'chat')","('translation', 'chat')","('translation', 'chat')"
太 冷 了,3,3,chat,chat,"('chat', 'weather')","('chat', 'weather')","('chat', 'weather')","('chat', 'weather')","('chat', 'weather')","('chat', 'weather')","('chat', 'weather')","('chat', 'weather')","('chat', 'weather')","('chat', 'weather')"
我 今天 不 高兴,3,3,chat,chat,"('chat', 'translation')","('chat', 'translation')","('chat', 'schedule')","('chat', 'schedule')","('chat', 'video')","('chat', 'music')","('chat', 'news')","('chat', 'music')","('chat', 'music')","('chat', 'epg')"
看 下 日历 ， 劳动节 还有 几 个 星期 就 到 了,7,7,datetime,datetime,"('datetime', 'video')","('datetime', 'schedule')","('datetime', 'calc')","('datetime', 'schedule')","('datetime', 'video')","('datetime', 'tvchannel')","('datetime', 'news')","('datetime', 'chat')","('datetime', 'schedule')","('datetime', 'weather')"
到 上海 坐 汽车 怎么 走 啊,1,1,bus,bus,"('bus', 'map')","('map', 'bus')","('map', 'bus')","('map', 'bus')","('bus', 'chat')","('map', 'bus')","('bus', 'chat')","('map', 'chat')","('bus', 'map')","('bus', 'map')"
