sentence,prediction,ground_true,预测,正确,fold_0_top2,fold_1_top2,fold_2_top2,fold_3_top2,fold_4_top2,fold_5_top2,fold_6_top2,fold_7_top2,fold_8_top2,fold_9_top2
请 帮 我 打开 uc,0,0,app,app,"('app', 'website')","('app', 'email')","('app', 'email')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'chat')"
链家 地产 打开 QQ,0,0,app,app,"('app', 'website')","('app', 'video')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'stock')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')"
笑 一 笑 十 年 少,3,28,chat,video,"('music', 'video')","('chat', 'music')","('music', 'chat')","('chat', 'music')","('chat', 'music')","('chat', 'music')","('chat', 'video')","('chat', 'video')","('chat', 'music')","('chat', 'website')"
我 好 高兴 噢,3,3,chat,chat,"('chat', 'map')","('chat', 'app')","('chat', 'music')","('chat', 'music')","('chat', 'contacts')","('chat', 'tvchannel')","('chat', 'website')","('chat', 'cookbook')","('chat', 'music')","('chat', 'website')"
给 我 打开 收音机 ， 我 要 听 调幅 86.5,20,20,radio,radio,"('radio', 'app')","('radio', 'website')","('radio', 'lottery')","('radio', 'app')","('radio', 'app')","('radio', 'tvchannel')","('radio', 'tvchannel')","('radio', 'app')","('radio', 'map')","('radio', 'telephone')"
帮 我 添加 一个 下午 1点 的 闹钟 ， 我 到 时候 要 去 开会,22,22,schedule,schedule,"('schedule', 'lottery')","('schedule', 'contacts')","('schedule', 'datetime')","('schedule', 'chat')","('schedule', 'datetime')","('schedule', 'epg')","('schedule', 'weather')","('schedule', 'epg')","('schedule', 'translation')","('schedule', 'chat')"
总是 想 他 喜欢 和 他 在 一起 的 那种 感觉,3,3,chat,chat,"('chat', 'music')","('chat', 'music')","('chat', 'music')","('chat', 'music')","('chat', 'novel')","('chat', 'music')","('chat', 'music')","('chat', 'health')","('chat', 'music')","('chat', 'health')"
给 我 打开 1 下 qq,0,0,app,app,"('app', 'website')","('app', 'chat')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'chat')"
帮忙 打开 1 下 酷狗 音乐 播放 音乐 行不,0,0,app,app,"('app', 'website')","('app', 'website')","('app', 'chat')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'video')"
我 要 查看 未 读 邮件 里 写 了 什么 ， 替 我 打开 邮件 吧,8,8,email,email,"('email', 'message')","('email', 'cookbook')","('email', 'app')","('email', 'news')","('email', 'chat')","('email', 'message')","('email', 'message')","('email', 'app')","('email', 'flight')","('email', 'stock')"
你 是 打 广告 的 吗,3,3,chat,chat,"('chat', 'map')","('chat', 'app')","('chat', 'music')","('chat', 'weather')","('chat', 'map')","('chat', 'cookbook')","('chat', 'datetime')","('chat', 'riddle')","('chat', 'music')","('chat', 'cookbook')"
