sentence,prediction,ground_true,预测,正确,fold_0_top2,fold_1_top2,fold_2_top2,fold_3_top2,fold_4_top2,fold_5_top2,fold_6_top2,fold_7_top2,fold_8_top2,fold_9_top2
请 帮 我 打开 uc,0,0,app,app,"('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')"
链家 地产 打开 QQ,0,0,app,app,"('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')"
笑 一 笑 十 年 少,3,28,chat,video,"('chat', 'music')","('chat', 'video')","('chat', 'video')","('chat', 'video')","('chat', 'calc')","('chat', 'video')","('chat', 'video')","('chat', 'video')","('chat', 'video')","('chat', 'video')"
我 好 高兴 噢,3,3,chat,chat,"('chat', 'website')","('chat', 'video')","('chat', 'website')","('chat', 'website')","('chat', 'website')","('chat', 'app')","('chat', 'weather')","('chat', 'website')","('chat', 'website')","('chat', 'app')"
给 我 打开 收音机 ， 我 要 听 调幅 86.5,20,20,radio,radio,"('radio', 'music')","('radio', 'music')","('radio', 'music')","('radio', 'music')","('radio', 'music')","('radio', 'music')","('radio', 'music')","('music', 'stock')","('radio', 'app')","('music', 'radio')"
帮 我 添加 一个 下午 1点 的 闹钟 ， 我 到 时候 要 去 开会,22,22,schedule,schedule,"('schedule', 'app')","('schedule', 'match')","('schedule', 'email')","('schedule', 'match')","('schedule', 'flight')","('schedule', 'train')","('schedule', 'app')","('schedule', 'map')","('schedule', 'map')","('schedule', 'map')"
总是 想 他 喜欢 和 他 在 一起 的 那种 感觉,3,3,chat,chat,"('chat', 'music')","('chat', 'music')","('chat', 'music')","('chat', 'schedule')","('chat', 'map')","('chat', 'music')","('chat', 'music')","('chat', 'train')","('chat', 'music')","('chat', 'music')"
给 我 打开 1 下 qq,0,0,app,app,"('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'website')","('app', 'schedule')","('app', 'website')","('app', 'website')","('app', 'website')"
帮忙 打开 1 下 酷狗 音乐 播放 音乐 行不,0,0,app,app,"('app', 'music')","('app', 'calc')","('app', 'music')","('app', 'music')","('app', 'music')","('app', 'music')","('app', 'music')","('app', 'music')","('app', 'radio')","('app', 'music')"
我 要 查看 未 读 邮件 里 写 了 什么 ， 替 我 打开 邮件 吧,8,8,email,email,"('email', 'website')","('email', 'poetry')","('email', 'chat')","('email', 'riddle')","('email', 'schedule')","('email', 'train')","('chat', 'email')","('email', 'cookbook')","('email', 'contacts')","('email', 'schedule')"
你 是 打 广告 的 吗,3,3,chat,chat,"('chat', 'video')","('chat', 'video')","('chat', 'map')","('chat', 'video')","('chat', 'map')","('chat', 'telephone')","('chat', 'video')","('chat', 'video')","('chat', 'video')","('chat', 'video')"
最 早 的 宝莲灯 电视剧 ， 可以 给 我 放 一下 吗,28,28,video,video,"('video', 'poetry')","('video', 'epg')","('epg', 'video')","('video', 'epg')","('video', 'epg')","('epg', 'chat')","('chat', 'video')","('video', 'epg')","('epg', 'video')","('video', 'chat')"
